/home/fonwin/f9utws/logs/20190826/omstws.log.TwsNew.x4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
333670|20190826033210.447119|20190826033210.447251|20190826033210.447277|132|26
333672|20190826033210.447142|20190826033210.447258|20190826033210.447281|116|23|23|7|4
333674|20190826033210.447161|20190826033210.447259|20190826033210.447283|98|24|19|1|2
333676|20190826033210.447166|20190826033210.447260|20190826033210.447285|94|25|5|1|2
333678|20190826033210.447170|20190826033210.447260|20190826033210.447287|90|27|4|0|2
333680|20190826033210.447173|20190826033210.447261|20190826033210.447290|88|29|3|1|3
333682|20190826033210.447177|20190826033210.447262|20190826033210.447292|85|30|4|1|2
333684|20190826033210.447181|20190826033210.447262|20190826033210.447309|81|47|4|0|17
333686|20190826033210.447185|20190826033210.447263|20190826033210.447312|78|49|4|1|3
333688|20190826033210.447193|20190826033210.447264|20190826033210.447314|71|50|8|1|2
333690|20190826033210.447198|20190826033210.447264|20190826033210.447316|66|52|5|0|2
333692|20190826033210.447203|20190826033210.447265|20190826033210.447318|62|53|5|1|2
333694|20190826033210.447207|20190826033210.447277|20190826033210.447329|70|52|4|12|11
333696|20190826033210.447211|20190826033210.447277|20190826033210.447331|66|54|4|0|2
333698|20190826033210.447215|20190826033210.447278|20190826033210.447333|63|55|4|1|2
333700|20190826033210.447220|20190826033210.447279|20190826033210.447335|59|56|5|1|2
333702|20190826033210.447224|20190826033210.447280|20190826033210.447337|56|57|4|1|2
333704|20190826033210.447228|20190826033210.447281|20190826033210.447339|53|58|4|1|2
333706|20190826033210.447231|20190826033210.447281|20190826033210.447341|50|60|3|0|2
333708|20190826033210.447243|20190826033210.447282|20190826033210.447343|39|61|12|1|2
333710|20190826033210.447250|20190826033210.447283|20190826033210.447345|33|62|7|1|2
333712|20190826033210.447257|20190826033210.447283|20190826033210.447346|26|63|7|0|1
333714|20190826033210.447261|20190826033210.447284|20190826033210.447348|23|64|4|1|2
333716|20190826033210.447264|20190826033210.447284|20190826033210.447351|20|67|3|0|3
333718|20190826033210.447268|20190826033210.447291|20190826033210.447353|23|62|4|7|2
333720|20190826033210.447272|20190826033210.447292|20190826033210.447356|20|64|4|1|3
333722|20190826033210.447278|20190826033210.447306|20190826033210.447360|28|54|6|14|4
333724|20190826033210.447282|20190826033210.447306|20190826033210.447362|24|56|4|0|2
333726|20190826033210.447285|20190826033210.447313|20190826033210.447364|28|51|3|7|2
