/home/fonwin/f9utws/logs/20190826/omstws.log.TwsNew.g3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
37|20190826031311.695766|20190826031311.695884|20190826031311.695964|118|80
39|20190826031311.695784|20190826031311.695889|20190826031311.695968|105|79|18|5|4
41|20190826031311.695789|20190826031311.695890|20190826031311.695970|101|80|5|1|2
43|20190826031311.695793|20190826031311.695891|20190826031311.695972|98|81|4|1|2
45|20190826031311.695797|20190826031311.695891|20190826031311.695995|94|104|4|0|23
47|20190826031311.695801|20190826031311.695892|20190826031311.695998|91|106|4|1|3
49|20190826031311.695805|20190826031311.695893|20190826031311.696000|88|107|4|1|2
51|20190826031311.695808|20190826031311.695893|20190826031311.696004|85|111|3|0|4
53|20190826031311.695812|20190826031311.695894|20190826031311.696007|82|113|4|1|3
55|20190826031311.695819|20190826031311.695894|20190826031311.696009|75|115|7|0|2
57|20190826031311.695824|20190826031311.695895|20190826031311.696011|71|116|5|1|2
59|20190826031311.695829|20190826031311.695895|20190826031311.696014|66|119|5|0|3
61|20190826031311.695833|20190826031311.695913|20190826031311.696016|80|103|4|18|2
63|20190826031311.695837|20190826031311.695914|20190826031311.696018|77|104|4|1|2
65|20190826031311.695840|20190826031311.695915|20190826031311.696020|75|105|3|1|2
67|20190826031311.695844|20190826031311.695915|20190826031311.696022|71|107|4|0|2
69|20190826031311.695848|20190826031311.695916|20190826031311.696024|68|108|4|1|2
71|20190826031311.695852|20190826031311.695916|20190826031311.696026|64|110|4|0|2
73|20190826031311.695855|20190826031311.695917|20190826031311.696027|62|110|3|1|1
75|20190826031311.695859|20190826031311.695917|20190826031311.696029|58|112|4|0|2
77|20190826031311.695871|20190826031311.695918|20190826031311.696031|47|113|12|1|2
79|20190826031311.695880|20190826031311.695919|20190826031311.696033|39|114|9|1|2
81|20190826031311.695887|20190826031311.695920|20190826031311.696035|33|115|7|1|2
83|20190826031311.695891|20190826031311.695920|20190826031311.696059|29|139|4|0|24
85|20190826031311.695895|20190826031311.695933|20190826031311.696062|38|129|4|13|3
87|20190826031311.695901|20190826031311.695941|20190826031311.696065|40|124|6|8|3
89|20190826031311.695905|20190826031311.695941|20190826031311.696068|36|127|4|0|3
91|20190826031311.695908|20190826031311.695942|20190826031311.696071|34|129|3|1|3
93|20190826031311.695916|20190826031311.695943|20190826031311.696073|27|130|8|1|2
95|20190826031311.695920|20190826031311.695943|20190826031311.696075|23|132|4|0|2
97|20190826031311.695923|20190826031311.695944|20190826031311.696078|21|134|3|1|3
99|20190826031311.695934|20190826031311.695950|20190826031311.696080|16|130|11|6|2
101|20190826031311.695938|20190826031311.695951|20190826031311.696082|13|131|4|1|2
103|20190826031311.695946|20190826031311.695953|20190826031311.696084|7|131|8|2|2
105|20190826031311.695952|20190826031311.695966|20190826031311.696086|14|120|6|13|2
107|20190826031311.695959|20190826031311.695971|20190826031311.696088|12|117|7|5|2
109|20190826031311.695963|20190826031311.695972|20190826031311.696090|9|118|4|1|2
111|20190826031311.695970|20190826031311.696002|20190826031311.696092|32|90|7|30|2
113|20190826031311.696001|20190826031311.696014|20190826031311.696094|13|80|31|12|2
115|20190826031311.696007|20190826031311.696020|20190826031311.696096|13|76|6|6|2
117|20190826031311.696011|20190826031311.696021|20190826031311.696097|10|76|4|1|1
119|20190826031311.696017|20190826031311.696023|20190826031311.696099|6|76|6|2|2
121|20190826031311.696024|20190826031311.696060|20190826031311.696100|36|40|7|37|1
123|20190826031311.696029|20190826031311.696067|20190826031311.696102|38|35|5|7|2
125|20190826031311.696033|20190826031311.696068|20190826031311.696104|35|36|4|1|2
127|20190826031311.696063|20190826031311.696070|20190826031311.696105|7|35|30|2|1
129|20190826031311.696068|20190826031311.696074|20190826031311.696107|6|33|5|4|2
131|20190826031311.696072|20190826031311.696077|20190826031311.696109|5|32|4|3|2
133|20190826031311.696078|20190826031311.696089|20190826031311.696110|11|21|6|12|1
135|20190826031311.696083|20190826031311.696096|20190826031311.696112|13|16|5|7|2
137|20190826031311.696086|20190826031311.696097|20190826031311.696120|11|23|3|1|8
139|20190826031311.696092|20190826031311.696099|20190826031311.696123|7|24|6|2|3
141|20190826031311.696097|20190826031311.696103|20190826031311.696125|6|22|5|4|2
143|20190826031311.696101|20190826031311.696106|20190826031311.696127|5|21|4|3|2
145|20190826031311.696107|20190826031311.696118|20190826031311.696129|11|11|6|12|2
147|20190826031311.696112|20190826031311.696125|20190826031311.696135|13|10|5|7|6
149|20190826031311.696116|20190826031311.696126|20190826031311.696138|10|12|4|1|3
151|20190826031311.696122|20190826031311.696128|20190826031311.696140|6|12|6|2|2
153|20190826031311.696128|20190826031311.696150|20190826031311.696169|22|19|6|22|29
155|20190826031311.696131|20190826031311.696162|20190826031311.696189|31|27|3|12|20
157|20190826031311.696135|20190826031311.696162|20190826031311.696192|27|30|4|0|3
159|20190826031311.696146|20190826031311.696170|20190826031311.696194|24|24|11|8|2
161|20190826031311.696167|20190826031311.696200|20190826031311.696209|33|9|21|30|15
163|20190826031311.696171|20190826031311.696203|20190826031311.696211|32|8|4|3|2
165|20190826031311.696187|20190826031311.696204|20190826031311.696213|17|9|16|1|2
167|20190826031311.696192|20190826031311.696214|20190826031311.696222|22|8|5|10|9
169|20190826031311.696202|20190826031311.696216|20190826031311.696224|14|8|10|2|2
171|20190826031311.696210|20190826031311.696235|20190826031311.696245|25|10|8|19|21
173|20190826031311.696217|20190826031311.696238|20190826031311.696247|21|9|7|3|2
175|20190826031311.696229|20190826031311.696244|20190826031311.696250|15|6|12|6|3
177|20190826031311.696236|20190826031311.696246|20190826031311.696252|10|6|7|2|2
179|20190826031311.696246|20190826031311.696265|20190826031311.696274|19|9|10|19|22
181|20190826031311.696259|20190826031311.696282|20190826031311.696292|23|10|13|17|18
183|20190826031311.696268|20190826031311.696285|20190826031311.696294|17|9|9|3|2
185|20190826031311.696274|20190826031311.696290|20190826031311.696297|16|7|6|5|3
187|20190826031311.696278|20190826031311.696291|20190826031311.696299|13|8|4|1|2
189|20190826031311.696285|20190826031311.696301|20190826031311.696310|16|9|7|10|11
191|20190826031311.696292|20190826031311.696305|20190826031311.696313|13|8|7|4|3
193|20190826031311.696299|20190826031311.696314|20190826031311.696322|15|8|7|9|9
195|20190826031311.696312|20190826031311.696336|20190826031311.696345|24|9|13|22|23
197|20190826031311.696330|20190826031311.696351|20190826031311.696360|21|9|18|15|15
199|20190826031311.696340|20190826031311.696360|20190826031311.696369|20|9|10|9|9
201|20190826031311.696348|20190826031311.696363|20190826031311.696371|15|8|8|3|2
203|20190826031311.696353|20190826031311.696364|20190826031311.696374|11|10|5|1|3
205|20190826031311.696358|20190826031311.696366|20190826031311.696376|8|10|5|2|2
207|20190826031311.696365|20190826031311.696385|20190826031311.696394|20|9|7|19|18
209|20190826031311.696377|20190826031311.696391|20190826031311.696396|14|5|12|6|2
211|20190826031311.696384|20190826031311.696403|20190826031311.696412|19|9|7|12|16
213|20190826031311.696395|20190826031311.696406|20190826031311.696415|11|9|11|3|3
215|20190826031311.696403|20190826031311.696420|20190826031311.696429|17|9|8|14|14
217|20190826031311.696416|20190826031311.696438|20190826031311.696447|22|9|13|18|18
219|20190826031311.696430|20190826031311.696453|20190826031311.696462|23|9|14|15|15
221|20190826031311.696442|20190826031311.696455|20190826031311.696465|13|10|12|2|3
223|20190826031311.696451|20190826031311.696470|20190826031311.696478|19|8|9|15|13
225|20190826031311.696465|20190826031311.696479|20190826031311.696487|14|8|14|9|9
227|20190826031311.696476|20190826031311.696489|20190826031311.696498|13|9|11|10|11
229|20190826031311.696482|20190826031311.696504|20190826031311.696513|22|9|6|15|15
231|20190826031311.696492|20190826031311.696507|20190826031311.696515|15|8|10|3|2
233|20190826031311.696501|20190826031311.696519|20190826031311.696528|18|9|9|12|13
235|20190826031311.696514|20190826031311.696534|20190826031311.696552|20|18|13|15|24
Spend(us)|748|650|588
Avg(us)|7.48|6.5|5.88
T1-T0|50%=21|75%=38|90%=80|99%=118|99.9%=118|99.99%=118|Worst=101|105|118|
T2-T1|50%=27|75%=110|90%=127|99%=139|99.9%=139|99.99%=139|Worst=132|134|139|
T0-|50%=6|75%=9|90%=13|99%=31|99.9%=31|99.99%=31|Worst=21|30|31|
T1-|50%=3|75%=12|90%=18|99%=37|99.9%=37|99.99%=37|Worst=30|30|37|
T2-|50%=2|75%=9|90%=18|99%=29|99.9%=29|99.99%=29|Worst=24|24|29|
